新聞社, カテゴリ, 件数, CLI_AVE, CLI_VAR, FKG_AVE, FKG_VAR, SVL_AVE_AVE, SVL_AVE_VAR, TOEIC_AVE_AVE, TOEIC_AVE_VAR, SVLの平均単語数, 平均単語数
CNN, Technology asia, 2, 12.70447962495335, 0.0878209044298238, 13.20201527382085, 1.238574699452418, 2.612537441163885, 0.03448752547116132, 341.0783371040725, 142.88226792359606, 196.0, 227.5
CNN, Technology travel, 3, 10.695717580741345, 0.5941726524348029, 10.17428160407968, 0.24798124851651995, 2.176626107403, 0.0009323378288169184, 312.10872994987267, 83.23044777025558, 205.66666666666666, 248.33333333333334
CNN, Technology justice, 1, 11.5851127819549, 0.0, 15.7879712041885, 0.0, 2.10576923076923, 0.0, 306.862745098039, 0.0, 104.0, 125.0
CNN, Technology politics, 1, 15.0508906882591, 0.0, 16.2080421440262, 0.0, 2.56716417910448, 0.0, 334.106463878327, 0.0, 268.0, 301.0
CNN, Entertainment opinion, 3, 9.7958353978972, 0.507604026222814, 7.427883358421884, 2.4241295656565036, 2.2861544381252696, 0.0006466057506361605, 311.19086065333903, 30.50991017340679, 292.0, 344.6666666666667
CNN, World Sport sailing, 2, 8.445179244867376, 0.8224246428873763, 8.21296101274003, 3.559409839071729, 2.06498108015136, 0.00036977159979071196, 292.20967625379353, 232.56911227420136, 266.5, 304.5
CNN, Technology living, 5, 10.591864143636984, 1.1067383880467365, 10.109404290405454, 7.16078275064717, 2.035393094624582, 0.12753605088685815, 297.7448263581402, 599.7927496338458, 257.0, 292.2
CNN, Technology showbiz, 1, 10.5668269230769, 0.0, 6.76285714285713, 0.0, 1.55, 0.0, 267.457627118644, 0.0, 60.0, 71.0
CNN, World business, 2, 10.95826582878614, 1.541806616527595, 9.107248450067395, 3.7535686249889166, 2.1335027310096297, 0.09177139970620099, 307.0649762050745, 690.778389084841, 268.5, 321.0
CNN, World Sport golf, 5, 8.888774521423462, 0.22811205705400917, 9.83819480856931, 6.00487412450234, 2.028036360566512, 0.07349253959603752, 296.22739987855914, 338.14425438593315, 256.6, 300.6
